SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
194_S147,194,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,25/10/15,FALSE,-44.67194444444444,167.89222222222222
220_S159,220,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,10/11/15,FALSE,-44.12722222222222,169.33861111111113
221_S160,221,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,10/11/15,FALSE,-43.97083333333334,169.41666666666666
224_S163,224,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,11/11/15,FALSE,-43.43611111111111,170.07833333333332
229_S164,229,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,11/11/15,FALSE,-42.724444444444444,170.98527777777775
237_S165,237,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,12/11/15,FALSE,-41.50388888888889,171.95138888888889
geraldineA_S168,geraldineA,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,1/9/15,FALSE,-44.095555555555556,171.24499999999998
geraldineB_S169,geraldineB,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,1/9/15,FALSE,-44.095555555555556,171.24499999999998
SI13B_S192,SI13B,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,14/10/14,TRUE,-46.900277777777774,168.12083333333334
SI16_S182,SI16,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,14/10/14,FALSE,-46.900277777777774,168.12083333333334
SI22_S184,SI22,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,6/11/14,FALSE,-46.900277777777774,168.12083333333334
SI7_S185,SI7,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,6/11/14,FALSE,-46.900277777777774,168.12083333333334
SignOfBellbird_S26,Sign of Bellbird,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,1/9/15,FALSE,-43.632777777777775,172.62666666666667
TeOkaA_S170,TeOkaA,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,1/9/15,FALSE,-43.82694444444445,172.71833333333333
TeOkaB_S171,TeOkaB,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,1/9/15,FALSE,-43.82694444444445,172.71833333333333
SI13A_S70,SI13A,1,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,14/10/14,FALSE,-46.900277777777774,168.12083333333334
SI13B_S71,SI13B,1,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,14/10/14,TRUE,-46.900277777777774,168.12083333333334
9A_S67,9A,1,Ctenarytaina_fuchsia_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,19/9/14,FALSE,-42.28472222222222,173.76083333333332
9B_S68,9B,1,Ctenarytaina_fuchsia_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,19/9/14,FALSE,-42.28472222222222,173.76083333333332
9C_S69,9C,1,Ctenarytaina_fuchsia_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,19/9/14,FALSE,-42.28472222222222,173.76083333333332
9d_S6,9D,2,Ctenarytaina_fuchsia_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,19/9/14,FALSE,-42.28472222222222,173.76083333333332
9e_S7,9E,2,Ctenarytaina_fuchsia_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,19/9/14,FALSE,-42.28472222222222,173.76083333333332
9f_S8,9F,2,Ctenarytaina_fuchsia_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,19/9/14,FALSE,-42.28472222222222,173.76083333333332
9g_S9,9G,2,Ctenarytaina_fuchsia_B,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,19/9/14,FALSE,-42.28472222222222,173.76083333333332
127a_S106,127A,2,Ctenarytaina_insularis,Ctenarytaina,Aphalaridae,Eucalyptus_sp,23/3/15,FALSE,-36.87388888888889,174.72916666666666
124_S104,124,2,Ctenarytaina_longicauda,Ctenarytaina,Aphalaridae,Lophostemon_confertus,22/3/15,FALSE,-36.86138888888889,174.77555555555557
131a_S107,131A,2,Ctenarytaina_longicauda,Ctenarytaina,Aphalaridae,Lophostemon_confertus,25/3/15,FALSE,-37.007777777777775,174.90611111111113
131b_S108,131B,2,Ctenarytaina_longicauda,Ctenarytaina,Aphalaridae,Lophostemon_confertus,25/3/15,FALSE,-37.007777777777775,174.90611111111113
175VOUCHA_S141,175 voucher A,2,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,16/4/15,FALSE,-43.80972222222222,173.02416666666667
24A_S72,24A,1,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.653888888888886,172.81222222222223
24a_S22,24A,2,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.653888888888886,172.81222222222223
