SampleID,Sample_Name,seqrun,f_primer,r_primer,Cycles,Annealing_temperature,Taq,Project_Description/_Owner,psyllid_family,psyllid_genus,psyllid_spp,hostplant_spp,Collection_Date,replicated,lat,long,genus_geo
42A_S52,42A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/10/2014,FALSE,-42.77333333,172.8483333,Ctenarytaina_AUS
42B_S53,42B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/10/2014,FALSE,-42.77333333,172.8483333,Ctenarytaina_AUS
42C_S54,42C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/10/2014,FALSE,-42.77333333,172.8483333,Ctenarytaina_AUS
SA2A_S55,SA2A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,4/11/2014,FALSE,-34.95916667,138.6791667,Ctenarytaina_AUS
SA2B_S56,SA2B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,4/11/2014,FALSE,-34.95916667,138.6791667,Ctenarytaina_AUS
SA2C_S57,SA2C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,4/11/2014,FALSE,-34.95916667,138.6791667,Ctenarytaina_AUS
SI10_S179,SI10,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,14/10/2014,FALSE,-46.90027778,168.1208333,Ctenarytaina_AUS
SI15_S181,SI15,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,14/10/2014,FALSE,-46.90027778,168.1208333,Ctenarytaina_AUS
VIC1A_S58,VIC1A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,12/11/2014,FALSE,-37.82861111,144.9758333,Ctenarytaina_AUS
VIC1B_S59,VIC1B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,12/11/2014,FALSE,-37.82861111,144.9758333,Ctenarytaina_AUS
VIC1C_S60,VIC1C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,12/11/2014,TRUE,-37.82861111,144.9758333,Ctenarytaina_AUS
VIC1C_S188,VIC1C,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,12/11/2014,TRUE,-37.82861111,144.9758333,Ctenarytaina_AUS
56_S53,56,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,30/11/2014,FALSE,-43.63972222,172.4752778,Ctenarytaina_NZ
194_S147,194,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,25/10/2015,FALSE,-44.67194444,167.8922222,Ctenarytaina_NZ
220_S159,220,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,10/11/2015,FALSE,-44.12722222,169.3386111,Ctenarytaina_NZ
221_S160,221,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,10/11/2015,FALSE,-43.97083333,169.4166667,Ctenarytaina_NZ
224_S163,224,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,11/11/2015,FALSE,-43.43611111,170.0783333,Ctenarytaina_NZ
229_S164,229,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,11/11/2015,FALSE,-42.72444444,170.9852778,Ctenarytaina_NZ
237_S165,237,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,12/11/2015,FALSE,-41.50388889,171.9513889,Ctenarytaina_NZ
geraldineA_S168,geraldineA,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,1/09/2015,FALSE,-44.09555556,171.245,Ctenarytaina_NZ
geraldineB_S169,geraldineB,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,1/09/2015,FALSE,-44.09555556,171.245,Ctenarytaina_NZ
SI13B_S192,SI13B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_fuchsia_A,Fuchsia_excorticata,14/10/2014,TRUE,-46.90027778,168.1208333,Ctenarytaina_NZ
